"generator_index","generator_sample_index","n","gen_fn","bic_a0","nknots_a0","mse_a0","mse_a0_uniform_x","bic_a1","nknots_a1","mse_a1","mse_a1_uniform_x","bic_diff","mse_diff","mse_diff_uniform_x","nknots_diff"
"1","1",250,"Michaelis-Menten",-382.704681417141,2,0.000182179714081071,0.00083764288208349,-382.704681417141,2,0.000182179714081071,0.00083764288208349,0,0,0,0
"1","1",250,"Michaelis-Menten",-382.442487075706,2,0.000208331625425334,0.000144924520062348,-382.442487075706,2,0.000208331625425334,0.000144924520062348,0,0,0,0
"1","1",250,"Michaelis-Menten",-411.622098743276,2,0.000172813165545867,0.000441789853570578,-411.622098743276,2,0.000172813165545867,0.000441789853570578,0,0,0,0
"1","1",250,"Michaelis-Menten",-383.861865219055,2,0.000268366025141424,0.000176974101668035,-383.861865219055,2,0.000268366025141424,0.000176974101668035,0,0,0,0
"1","1",250,"Michaelis-Menten",-409.315552391004,2,0.000169705306104202,0.000282264756657706,-409.315552391004,2,0.000169705306104202,0.000282264756657706,0,0,0,0
"1","1",250,"Michaelis-Menten",-370.65273266224,2,0.000129386256310764,0.000149335421831725,-370.65273266224,2,0.000129386256310764,0.000149335421831725,0,0,0,0
"1","1",250,"Michaelis-Menten",-390.598870913234,3,0.000156769710083389,0.000459719891878716,-393.996930830955,2,0.000103018565670859,0.000150784731100892,3.39805991772113,5.375114441253e-05,0.000308935160777824,1
"1","1",250,"Michaelis-Menten",-424.679477094481,2,0.000259863911996239,0.000287325318584932,-424.679477094481,2,0.000259863911996239,0.000287325318584932,0,0,0,0
"1","1",250,"Michaelis-Menten",-434.609046261047,2,0.00019402920397368,0.000243187002469156,-434.609046261047,2,0.00019402920397368,0.000243187002469156,0,0,0,0
"1","1",250,"Michaelis-Menten",-421.816084401455,2,0.000419127730674634,0.000920859674220073,-421.816084401455,2,0.000419127730674634,0.000920859674220073,0,0,0,0
"1","1",250,"Michaelis-Menten",-431.75160504559,2,0.000185120353820053,0.00112956889895016,-431.75160504559,2,0.000185120353820053,0.00112956889895016,0,0,0,0
"1","1",250,"Michaelis-Menten",-417.29155920355,4,0.000293115030392521,0.000277758429227002,-423.15823345175,2,0.000119490629292686,0.000471623085126557,5.86667424820052,0.000173624401099835,-0.000193864655899555,2
"1","1",250,"Michaelis-Menten",-367.796560750842,2,0.000269057143331679,0.00249540507854865,-367.796560750842,2,0.000269057143331679,0.00249540507854865,0,0,0,0
"1","1",250,"Michaelis-Menten",-402.971044804208,2,0.000271748319652247,0.000604482524294899,-403.28678716031,1,0.000741285971662519,0.00220939802447729,0.315742356102021,-0.000469537652010272,-0.00160491550018239,1
"1","1",250,"Michaelis-Menten",-386.4960340212,1,0.00062692852124618,0.00148841102774433,-386.4960340212,1,0.00062692852124618,0.00148841102774433,0,0,0,0
"1","1",250,"Michaelis-Menten",-411.403765533796,2,0.000200622229396339,0.00146376433163328,-411.403765533796,2,0.000200622229396339,0.00146376433163328,0,0,0,0
"1","1",250,"Michaelis-Menten",-394.322270875372,2,0.000552762340634663,0.000994292732646646,-394.322270875372,2,0.000552762340634663,0.000994292732646646,0,0,0,0
"1","1",250,"Michaelis-Menten",-438.371669462251,2,0.000444064936813643,0.00240820082116471,-438.371669462251,2,0.000444064936813643,0.00240820082116471,0,0,0,0
"1","1",250,"Michaelis-Menten",-420.83636728482,3,0.000473842391880443,0.000896744196336163,-420.83636728482,3,0.000473842391880445,0.00089674419633617,-3.41060513164848e-13,-1.95156391047391e-18,-6.93889390390723e-18,0
"1","1",250,"Michaelis-Menten",-426.317121279431,2,0.000200346027113151,0.0010561216837904,-426.317121279431,2,0.000200346027113151,0.0010561216837904,0,0,0,0
"1","1",250,"Michaelis-Menten",-415.666604024917,2,0.000167597825219324,0.000344058339656901,-415.666604024917,2,0.000167597825219324,0.000344058339656901,0,0,0,0
"1","1",250,"Michaelis-Menten",-430.839404132949,1,0.000730497732281343,0.00148924165800922,-430.839404132949,1,0.000730497732281343,0.00148924165800922,0,0,0,0
"1","1",250,"Michaelis-Menten",-411.556019150637,2,0.000156716404695316,0.000249119378899004,-411.556019150637,2,0.000156716404695316,0.000249119378899004,0,0,0,0
"1","1",250,"Michaelis-Menten",-402.526494330149,2,0.000193067575597887,0.000310708325803932,-402.526494330149,2,0.000193067575597887,0.000310708325803932,0,0,0,0
"1","1",250,"Michaelis-Menten",-400.264271128339,3,0.000143108804515795,0.000188366074533121,-403.721250922313,2,8.48871133135931e-05,9.98483995343136e-05,3.45697979397443,5.82216912022022e-05,8.8517674998807e-05,1
"1","1",250,"Michaelis-Menten",-430.09511489846,2,0.000152588401996329,0.000719635016810287,-430.09511489846,2,0.000152588401996329,0.000719635016810287,0,0,0,0
"1","1",250,"Michaelis-Menten",-417.826116897745,2,0.000291181880451631,0.000462103556161997,-417.826116897745,2,0.000291181880451631,0.000462103556161997,0,0,0,0
"1","1",250,"Michaelis-Menten",-420.53035271774,2,0.000115820062720838,0.000619069515210135,-420.53035271774,2,0.000115820062720838,0.000619069515210135,0,0,0,0
"1","1",250,"Michaelis-Menten",-437.501155283808,3,0.000400189118025374,0.00350010288601853,-442.644330664688,2,0.000310365601238435,0.00284525822255823,5.14317538087994,8.98235167869395e-05,0.000654844663460296,1
"1","1",250,"Michaelis-Menten",-449.581415908527,3,0.000716328246901356,0.0022153491801761,-449.581415908527,3,0.000716328246901339,0.00221534918017609,1.13686837721616e-13,1.74556549770166e-17,6.93889390390723e-18,0
