"age","anxi","artgluctot","attachphone","avoid","cbt","csi","DEQ","DIDF","draw","eatdrink","endtime","eng","EOT","exercise","filter_.","german","gluctot","health","heightm","home","humid","id","langfamily","mand","meds","mintemp","monog","norweg","nostalgia","nwsize","onlineid","pol","portuguese","romantic","seconds","selfc","serb","sex","sexpref","sinod","smoke","socialembedded","spanish","stress","turk","urald","weight"
1996,0.13017827223811,0,2.11111111111111,0.0842548343704253,36.6,6,44.818603515625,2.81818181818182,0.000980179756879807,1,"10:54:06",0,2.2,2,0,0,0,3,1.65,4.22222222222222,75,2,1,0,2,4,7,0,3.66666666666667,15,2.63636363636364,0,0,2,39246,3.38461538461538,1,2,1,0,2,2,0,3.21428571428571,0,0,53
1997,0.567881021829675,0,3.33333333333333,0.93486547676268,36.9444444444444,5,34.4329071,4.09090909090909,0.00126686925068498,2,"11:53:00",1,3.4,2,0,0,0,3,1.7526,3.22222222222222,72,4,1,0,1,10.5555555555556,6,0,5.33333333333333,14,3.36363636363636,0,0,2,42780,3.15384615384615,0,2,1,0,2,2,0,3.14285714285714,0,0,63.6363636363636
1996,-0.607329421452145,0,2.66666666666667,-0.268829653252606,36.8055555555556,7,37.552200317383,1.09090909090909,0.00358507689088583,1,"9:30:09",1,2.8,2,0,0,0,5,1.6256,1.22222222222222,81,6,1,0,1,14.4444444444444,7,0,3.83333333333333,13,1.63636363636364,0,0,2,34209,3.76923076923077,0,2,1,0,2,1,0,2.14285714285714,0,0,66.8181818181818
1995,0.353568250411829,0,3.55555555555556,1.03035968343361,36.4,9,31.45930480957,2.72727272727273,0.00587709667161107,1,"11:40:42",0,3.4,2,1,0,2,2,1.62,4.22222222222222,70,8,3,1,3,14,7,0,3.16666666666667,32,3,0,0,1,42042,3.23076923076923,0,2,1,1,2,3,0,2.71428571428571,0,0,46
1996,0.0234666989638217,0,3.66666666666667,0.923159847465192,36.6388888888889,6,34.4329071,3.18181818181818,0.00701000075787306,2,"10:24:00",1,2.4,2,0,0,0,3,1.5494,3.88888888888889,69,12,1,0,1,8.33333333333333,7,0,4.5,10,2.27272727272727,0,0,2,37440,3.38461538461538,0,2,1,0,2,2,0,3.21428571428571,0,0,55.9090909090909
1996,0.538608499933041,0,3.66666666666667,0.287781156170187,36.95,9,1.2931060791016,2.81818181818182,0.00809431122615933,1,"11:41:14",1,1.8,2,0,0,5,3,1.67,5,79,14,1,0,2,26,7,0,5.83333333333333,31,4,0,0,2,42074,2.76923076923077,0,2,1,0,2,3,0,3.14285714285714,0,0,52
1982,0.57788467765124,0,2.77777777777778,0.873058005064702,36.24,6,47.36669921875,3.27272727272727,0.0123791946098208,1,"11:42:50",0,2.6,2,0,1,0,4,1.79,2.88888888888889,74,18,1,0,2,3,4,0,4.66666666666667,17,2.90909090909091,0,0,2,42170,3.07692307692308,0,1,1,0,2,0,0,2.78571428571429,0,0,77
1989,-0.973514795476141,0,3,-0.202361781816792,36.75,8,39.911697387695,1.18181818181818,0.0133473104797304,1,"10:42:24",0,1.6,2,1,0,0,4,1.59,3.88888888888889,52,20,2,0,2,8,6,0,3,37,3.36363636363636,0,0,1,38544,4,0,2,1,0,2,5,0,2.57142857142857,1,1,53
1994,0.228715352843377,0,3.44444444444444,0.286487298198084,36.2777777777778,8,37.553802490234,2.63636363636364,0.0149823222309351,1,"10:09:01",1,3,2,0,0,0,4,1.778,2.77777777777778,61,24,1,0,2,2.77777777777778,7,0,2.16666666666667,18,3.09090909090909,0,0,2,36541,3.15384615384615,0,1,1,0,2,2,0,3,0,0,81.8181818181818
1993,-1.24463603792915,0,1.33333333333333,-0.547255158870594,36,7,39.911697387695,1.36363636363636,0.0155801032669842,1,"11:01:06",0,3.2,2,0,0,2,5,1.78,4.66666666666667,70,26,2,0,2,3,7,0,2,15,1.45454545454545,0,0,2,39666,4.61538461538461,0,1,1,0,2,3,0,1.57142857142857,1,1,62
1996,1.29043733009796,1,3.88888888888889,-0.0289300847729635,36.15,8,54.360794067383,2.18181818181818,0.0184595212340355,1,"9:40:36",0,2,2,0,0,0,3,1.56,4.11111111111111,65,28,1,0,2,1,7,0,6.4,23,4,1,0,2,34836,3.46153846153846,0,2,1,0,1,3,0,2.78571428571429,0,0,50
1991,-0.260949260932402,6,3.22222222222222,0.735016277665214,36.7,10,51.100006103516,2.36363636363636,0.0225214431993663,1,"11:03:26",0,1.6,2,1,0,3,2,1.7,2.22222222222222,78,32,1,0,2,0,4,0,5.8,22,3.18181818181818,1,0,1,39806,1.07692307692308,0,2,1,0,2,2,0,3.64285714285714,0,0,70
1990,0.0912987453864705,0,1.11111111111111,-0.354863903634082,36.05,8,51,1.63636363636364,0.0233146278187633,1,"12:05:27",0,2.2,2,1,1,1,5,1.78,3.55555555555556,53,34,1,0,2,4,7,0,1.83333333333333,20,1,0,0,1,43527,3.84615384615385,0,1,1,0,2,1,0,2.07142857142857,0,0,63
1994,0.851224194073475,0,4,0.735576847003563,36.6944444444444,6,34.4329071,2.27272727272727,0.0260370615869761,1,"10:26:00",1,2.8,2,0,0,25,2,1.76,4,86,38,1,0,1,12.2222222222222,6,0,6.33333333333333,12,3.09090909090909,0,0,2,37560,2.07692307692308,0,1,1,0,2,1,0,3.78571428571429,0,0,95.4545454545455
